Subject,Distance,Context,Resp13,RT,Vis
1,6,0,1,0.83308,1
1,2,0,0,0.79876,1
1,3,1,0,0.68808,1
1,2,0,0,0.63515,1
1,5,1,1,0.78246,1
1,1,1,0,0.58898,1
1,6,0,1,0.80009,1
1,4,1,0,0.67191,1
1,3,0,0,0.71464,1
1,3,0,0,0.62429,1
1,4,0,0,0.71887,1
1,2,1,0,0.65807,1
1,6,1,1,0.94406,1
1,2,0,0,0.75375,1
1,1,0,0,0.72566,1
1,1,1,0,0.6829,1
1,4,0,0,0.77204,1
1,2,1,0,0.66722,1
1,5,1,1,0.76056,1
1,2,0,0,0.69512,1
1,2,0,0,0.69361,1
1,2,0,0,0.68419,1
1,6,1,0,1.0926,1
1,4,1,0,0.74169,1
1,3,0,0,0.7817,1
1,2,0,0,0.68758,1
1,2,1,0,0.62803,1
1,6,0,0,0.7452,1
1,6,1,0,0.75254,1
1,5,0,0,1.0047,1
1,3,1,0,0.66542,1
1,5,0,1,0.89341,1
1,3,1,0,0.7893,1
1,3,0,0,0.66715,1
1,4,1,0,0.72725,1
1,5,1,0,0.86686,1
1,4,0,0,0.88469,1
1,4,0,0,0.87001,1
1,2,1,0,0.81186,1
1,1,0,0,0.71671,1
1,6,1,1,0.91473,1
1,5,0,1,0.78202,1
1,5,1,1,0.84372,1
1,4,1,0,0.7897,1
1,1,0,0,0.69086,1
1,5,1,0,0.80199,1
1,5,1,1,0.91705,1
1,5,0,0,0.75899,1
1,4,0,1,1.1495,1
1,6,1,1,1.1031,1
1,6,0,0,0.67834,1
1,2,1,0,0.80023,1
1,2,1,0,0.57279,1
1,5,0,1,0.8726,1
1,6,1,1,0.91225,1
1,5,0,1,0.68758,1
1,2,1,0,0.76963,1
1,2,0,0,0.57738,1
1,3,1,0,0.61308,1
1,6,1,1,0.65355,1
1,1,0,0,0.67953,1
1,2,1,0,0.5661,1
1,4,1,0,0.63729,1
1,3,1,0,0.60708,1
1,4,0,0,0.64091,1
1,6,1,1,0.86155,1
1,4,0,0,0.67207,1
1,4,1,0,0.55924,1
1,6,1,1,0.94983,1
1,4,1,0,1.0136,1
1,1,0,0,0.78621,1
1,1,1,0,0.62658,1
1,3,0,0,0.79979,1
1,4,0,0,0.58046,1
1,1,1,0,0.57813,1
1,4,0,0,1.1921,1
1,3,1,0,1.2478,1
1,5,1,1,0.83904,1
1,4,0,1,1.3421,1
1,3,0,1,0.82356,1
1,2,1,1,0.6847,1
1,3,0,0,0.71725,1
1,5,0,1,0.7051,1
1,5,0,1,0.85698,1
1,2,1,1,0.74068,1
1,5,0,1,0.67528,1
1,6,1,1,0.77788,1
1,3,1,1,0.63958,1
1,3,0,1,0.8348,1
1,1,0,0,0.66814,1
1,5,1,1,0.67464,1
1,3,0,1,0.64308,1
1,3,0,1,0.68309,1
1,4,0,1,1.0489,1
1,2,1,1,0.64855,1
1,5,0,1,0.64533,1
1,5,1,1,1.0899,1
1,5,0,1,0.85236,1
1,1,0,0,0.86745,1
1,1,0,0,0.71716,1
1,6,1,1,0.84195,1
1,4,0,0,0.86776,1
1,1,0,0,0.59492,1
1,2,0,0,0.61819,1
1,2,1,0,0.65521,1
1,1,0,0,0.59714,1
1,2,1,0,0.53897,1
1,1,0,0,0.61022,1
1,4,1,0,0.72347,1
1,5,1,1,0.72341,1
1,4,0,0,0.63067,1
1,2,0,0,0.56857,1
1,1,1,0,0.56705,1
1,6,0,1,0.70538,1
1,5,1,1,0.79859,1
1,1,0,0,0.59706,1
1,2,1,0,0.69482,1
1,6,1,1,0.70154,1
1,2,0,0,0.62591,1
1,2,0,0,0.60325,1
1,6,1,1,0.73248,1
1,4,0,1,1.1035,1
1,3,0,1,0.73884,1
1,1,0,0,1.1399,1
1,2,1,1,1.0965,1
1,5,0,1,0.67698,1
1,6,0,1,0.6354,1
1,6,0,1,0.55142,1
1,4,1,1,0.56266,1
1,3,0,1,0.54099,1
1,4,0,1,0.50363,1
1,3,1,1,0.54531,1
1,4,0,1,0.47307,1
1,5,0,1,0.53975,1
1,2,1,1,0.58419,1
1,1,1,1,0.48809,1
1,1,1,1,0.50915,1
2,6,1,0,1.0444,3
2,5,1,0,1.6065,2
2,6,0,0,1.109,1
2,5,1,0,1.6729,1
2,4,1,0,1.6815,1
2,4,0,1,1.5335,1
2,3,1,1,1.2293,1
2,6,1,0,1.9634,1
2,5,0,0,1.6961,1
2,5,1,0,1.5367,1
2,2,0,0,0.92373,1
2,5,1,1,1.5502,1
2,5,0,0,2.0158,1
2,5,1,0,1.099,1
2,2,1,0,1.086,1
2,6,1,1,1.0907,1
2,1,0,0,1.0137,1
2,3,0,0,0.96835,1
2,1,1,0,0.68596,1
2,1,1,0,0.57786,1
2,6,0,1,0.96218,1
2,4,1,0,1.4526,1
2,2,1,0,0.9892,1
2,6,0,1,0.82222,1
2,4,1,1,0.88071,1
2,3,1,1,0.71919,1
2,3,1,1,0.74566,1
2,2,0,0,1.2735,1
2,6,0,1,0.91855,1
2,4,0,1,0.85579,1
2,1,1,0,1.2883,1
2,2,1,0,0.77339,1
2,6,1,1,0.75597,1
2,1,0,0,0.94849,1
2,1,0,0,0.96101,1
2,6,1,1,0.68019,1
2,6,1,1,0.7674,1
2,4,0,0,1.2957,1
2,2,1,0,0.92029,1
2,3,1,0,0.58148,1
2,2,0,0,0.70542,1
2,2,0,0,0.61057,1
2,4,0,0,0.99045,1
2,2,1,0,0.87625,1
2,6,1,1,0.76134,1
2,4,1,0,1.1491,1
2,2,0,0,0.6903,1
2,3,0,0,1.4775,1
2,1,1,0,1.4047,1
2,5,0,1,0.60257,1
2,1,1,0,0.6044,1
2,5,0,1,0.73959,1
2,4,1,0,1.3608,1
2,3,1,1,0.70659,1
2,4,0,1,0.61863,1
2,4,0,1,0.61255,1
2,5,1,1,0.55425,1
2,1,1,0,0.56749,1
2,2,1,0,0.64279,1
2,2,0,1,1.022,1
2,2,1,0,0.67852,1
2,1,0,0,0.62361,1
2,5,0,1,0.64021,1
2,5,0,1,0.64158,1
2,2,1,0,0.70147,1
2,4,1,1,0.77064,1
2,5,1,1,0.57991,1
2,3,0,0,0.70039,1
2,6,1,1,0.92232,1
2,4,1,1,0.89827,1
2,6,1,1,0.57677,1
2,1,1,0,0.66907,1
2,3,1,0,0.67913,1
2,6,1,1,0.65419,1
2,4,0,0,1.1696,1
2,3,1,0,0.97077,1
2,1,0,0,1.596,1
2,1,0,0,0.60498,1
2,1,1,0,0.57575,1
2,6,0,1,0.63676,1
2,2,1,0,0.61421,1
2,5,0,1,0.76856,1
2,4,1,1,1.6284,1
2,4,0,1,1.2935,1
2,4,0,1,0.94197,1
2,3,1,0,1.2307,1
2,5,0,1,0.72314,1
2,3,0,0,0.5997,1
2,4,1,0,1.2648,1
2,6,0,1,0.73961,1
2,3,1,0,0.77668,1
2,3,0,0,0.7818,1
2,4,0,0,0.68111,1
2,6,0,1,1.1011,1
2,4,0,1,0.60279,1
2,6,0,0,1.3298,1
2,2,0,0,0.62696,1
2,2,1,0,0.57169,1
2,2,1,0,0.61678,1
2,4,1,0,0.80212,1
2,1,0,0,0.51658,1
2,5,0,1,0.72522,1
2,1,1,0,0.57107,1
2,3,1,0,0.693,1
2,6,0,1,0.6421,1
2,3,1,0,0.55664,1
2,6,0,1,0.92922,1
