Subject,Distance,Context,Style,Item,ClassRef,RT,Vis
2,1,1,1,2,0,0.50031,1
2,2,1,1,6,0,0.8055,2
2,3,0,1,5,0,0.69696,1
2,3,1,1,6,0,0.62276,2
2,3,1,1,5,0,0.75797,1
2,1,0,1,3,0,0.73117,2
2,2,1,1,5,0,1.1858,1
2,1,1,1,1,1,0.99078,1
2,1,1,1,4,1,1.1628,2
2,3,0,1,1,1,1.0047,1
2,3,0,1,3,1,0.86586,2
2,2,0,1,4,1,0.93899,2
2,3,1,1,1,1,1.057,3
2,3,1,1,2,0,0.69211,1
2,3,0,1,4,1,0.86408,2
2,2,1,1,3,1,0.89066,1
2,2,0,1,1,1,0.82246,2
2,2,0,1,3,1,0.93311,1
2,2,0,1,5,0,0.92767,1
2,2,0,1,6,0,0.71277,1
2,2,1,1,2,0,0.71345,1
2,3,1,1,4,1,1.302,3
2,1,0,1,5,0,0.77777,1
2,3,0,1,2,0,1.1306,3
2,3,1,1,3,1,0.67097,2
2,2,0,1,2,0,0.60686,2
2,1,0,1,6,0,0.62818,1
2,2,1,1,1,1,1.1547,1
2,1,0,1,4,0,1.0085,2
2,1,1,1,5,0,0.70649,1
2,3,1,1,4,1,0.67776,1
2,1,1,1,3,0,0.52492,1
2,2,1,1,5,0,0.64951,1
2,2,0,1,4,0,0.97533,1
2,2,0,1,6,1,0.67393,1
2,2,0,1,1,1,1.2625,1
2,1,0,1,6,0,0.67588,2
2,2,1,1,1,1,0.97755,2
2,1,1,1,2,0,0.91135,1
2,1,0,1,3,1,1.1098,2
2,3,1,1,2,0,0.70582,1
2,3,1,1,3,1,0.84105,2
2,3,1,1,5,1,0.84487,1
2,2,1,1,3,1,0.73355,1
2,1,1,1,5,1,0.96473,2
2,3,1,1,6,0,0.81988,2
2,3,0,1,4,1,0.82782,3
2,1,0,1,2,0,1.4544,3
2,3,0,1,5,0,0.57545,1
2,2,1,1,6,0,1.0888,1
2,3,0,1,3,1,0.71588,1
2,3,1,1,1,1,0.97052,2
2,3,0,1,6,0,0.68101,1
2,3,0,1,2,0,0.7395,1
2,1,0,1,1,1,0.89753,1
2,1,0,1,4,1,0.8074,1
2,2,0,1,3,1,1.0025,1
2,2,0,1,5,0,0.75997,1
2,1,1,1,1,1,0.81714,2
2,2,1,1,2,0,0.88811,3
2,1,0,1,5,0,0.7316,2
2,2,0,1,2,0,0.61286,1
2,3,0,1,1,1,0.90127,1
2,2,1,1,4,1,1.09,2
2,2,0,1,2,0,0.58839,1
2,3,1,1,5,1,0.75429,1
2,3,1,1,2,0,0.55421,1
2,1,0,1,5,0,0.69275,1
2,1,1,1,6,0,0.63396,1
2,2,1,1,4,1,0.8278,1
2,3,1,1,1,1,0.72824,1
2,2,1,1,3,0,0.62424,1
2,2,0,1,6,0,0.62282,1
2,2,0,1,1,1,0.70878,2
2,2,0,1,5,0,1.096,3
2,3,0,1,2,0,0.73517,3
2,1,1,1,4,1,0.88291,2
2,1,0,1,6,0,0.79694,1
2,1,1,1,1,1,0.84757,1
2,1,0,1,4,0,0.92927,1
2,1,1,1,2,0,0.67275,1
2,1,1,1,3,1,0.67389,1
2,3,1,1,4,1,1.0791,3
