Subject,Distance,Context,Condition,ClassRef,RT,Vis
9,1,0,0,1,0.28753,1
9,3,1,0,1,1.5033,1
9,6,1,0,0,1.7565,2
9,1,1,0,1,0.48029,1
9,4,0,0,0,0.2683,1
9,2,1,0,0,0.36264,1
9,3,0,0,0,0.36412,1
9,2,0,0,1,0.35137,1
9,5,0,0,0,0.386,1
9,4,1,0,0,0.41243,1
9,6,0,0,1,1.2904,1
9,3,1,0,1,0.4049,1
9,1,0,0,1,0.42949,1
9,6,0,0,0,0.49465,1
9,3,0,0,1,0.52226,1
9,5,1,0,1,0.54112,1
9,6,1,0,0,0.67704,1
9,2,0,0,1,0.58623,1
9,2,1,0,1,0.38352,1
9,4,0,0,1,0.49209,1
9,5,0,0,0,0.52201,1
9,1,1,0,0,0.50583,1
9,4,1,0,0,2.5689,2
9,6,0,0,0,0.42078,1
9,5,0,0,1,0.36981,1
9,4,1,0,1,0.49995,1
9,4,0,0,1,0.37585,1
9,3,1,0,1,0.47501,1
9,1,0,0,1,0.47026,1
9,5,1,0,1,0.32619,1
9,2,1,0,0,0.99413,1
9,1,1,0,1,0.54867,1
9,3,0,0,1,0.45659,2
9,6,1,0,1,0.56782,1
9,2,0,0,1,0.39305,1
9,2,1,0,1,0.42692,1
9,1,0,0,1,0.38829,1
9,5,1,0,1,0.4321,1
9,6,1,0,0,0.4614,1
9,3,0,0,0,0.44127,1
9,3,1,0,0,0.42053,1
9,5,0,0,0,0.4211,1
9,4,1,0,0,0.30833,1
9,4,0,0,0,0.93097,1
9,2,0,0,1,2.5888,3
9,1,1,0,1,0.45868,1
9,6,0,0,1,0.29986,1
10,3,1,0,1,1.8938,2
10,2,0,0,0,1.2005,2
10,1,1,0,1,1.3129,2
10,6,1,0,0,1.2684,1
10,2,1,0,1,1.6255,4
10,6,0,0,0,0.89776,2
10,5,1,0,1,0.36914,1
10,1,0,0,0,0.50226,1
10,4,1,0,1,0.57618,2
10,4,0,0,1,0.57425,2
10,3,0,0,1,1.3575,1
10,5,0,0,1,0.3814,1
10,3,1,0,0,0.54844,2
10,5,0,0,1,0.44454,1
10,2,1,0,0,0.25355,1
10,6,0,0,0,0.36642,1
10,4,0,0,0,0.8449,1
10,1,1,0,1,0.71172,1
10,5,1,0,1,0.53526,1
10,6,1,0,1,0.54646,1
10,1,0,0,1,0.32127,1
10,2,0,0,1,0.31886,1
10,3,0,0,1,0.33044,1
10,4,1,0,0,0.36165,1
10,2,0,0,1,0.3042,1
10,6,0,0,1,0.27619,1
10,2,1,0,0,0.33071,1
10,6,1,0,0,0.27959,1
10,3,1,0,0,0.20358,1
10,5,0,0,1,0.2564,1
10,4,0,0,1,0.26966,1
10,3,0,0,1,0.26813,1
10,5,1,0,0,0.27699,1
10,1,1,0,0,0.2561,1
10,4,1,0,0,0.39792,1
10,1,0,0,1,0.38881,1
10,5,1,0,0,0.26336,1
10,2,1,0,0,0.38215,1
10,6,1,0,0,0.26008,1
10,2,0,0,0,0.1831,1
10,1,0,0,0,0.52779,1
10,4,1,0,0,0.30764,1
10,5,0,0,1,0.18309,1
10,6,0,0,1,0.44539,1
10,1,1,0,0,0.44679,1
10,3,1,0,0,0.36677,1
10,3,0,0,1,0.33261,1
10,4,0,0,1,0.36663,1
10,2,1,0,0,0.31859,1
10,5,0,0,1,0.4291,1
10,1,1,0,1,NaN,2
