Subject,Distance,Is_Let,Is_Num,Resp13,RT,Vis
1,1,0,1,1,0.7201,4
1,2,0,0,1,0.65257,4
1,2,1,0,0,0.75244,4
1,3,0,0,1,0.41471,4
1,3,0,1,1,0.98146,4
1,6,0,0,1,0.6962,4
1,4,0,0,1,0.35761,4
1,4,0,1,1,0.43831,4
1,6,0,1,1,0.41324,4
1,5,1,0,1,0.78574,4
1,5,0,1,1,0.48515,4
1,5,1,0,1,0.33703,4
1,1,0,0,1,0.53016,4
1,3,0,0,1,0.79902,4
1,2,0,0,1,0.50608,4
1,2,1,0,0,0.72919,4
1,1,1,0,0,0.41332,4
1,3,1,0,0,0.37541,4
1,4,0,0,1,0.44239,4
1,4,0,0,1,0.4739,4
1,1,1,0,0,0.59957,4
1,4,0,0,1,0.47138,4
1,6,0,1,0,0.84341,4
1,1,1,0,1,0.56213,4
1,2,0,0,1,0.56682,4
1,5,1,0,0,0.81274,4
1,6,0,1,1,0.63234,4
1,4,0,1,1,0.48988,4
1,1,1,0,0,0.48445,4
1,2,0,0,1,0.54631,4
1,5,0,0,1,0.60387,4
1,3,0,1,1,0.79505,4
1,5,0,0,1,0.47513,4
1,5,1,0,0,0.85573,4
1,5,1,0,0,0.59465,4
1,5,1,0,0,0.6014,4
1,4,0,1,1,0.54635,4
1,1,0,1,1,0.58869,4
1,1,1,0,0,1.1787,4
1,5,0,0,1,0.58308,4
1,4,0,1,1,0.57063,4
1,6,0,0,1,0.95495,4
1,5,0,0,1,0.56167,4
1,4,0,1,1,0.50952,4
1,5,0,1,1,0.42772,4
1,3,0,0,1,0.53578,4
1,4,0,0,1,0.51009,4
1,1,0,0,0,0.61963,4
1,1,1,0,0,0.4391,4
1,6,0,1,1,0.40987,4
1,5,0,1,1,0.53826,4
1,4,1,0,0,0.48664,4
1,6,1,0,0,0.4013,4
1,4,0,0,1,0.48368,4
1,3,0,1,1,0.70253,4
1,1,1,0,0,0.61355,4
1,3,1,0,0,0.59134,4
1,3,1,0,1,0.63077,4
1,1,0,0,0,0.61684,4
1,5,0,1,1,0.56479,4
1,4,0,0,1,0.49869,4
1,6,0,0,1,0.3735,4
1,6,1,0,0,0.62008,4
1,3,0,1,1,0.44473,4
1,1,0,0,0,0.60698,4
1,3,0,0,0,0.56075,4
1,3,1,0,0,0.4972,4
1,4,0,1,1,0.53086,4
1,1,1,0,0,0.44626,4
1,4,1,0,0,1.1398,4
1,5,0,1,1,0.64429,1
1,3,0,0,1,0.59732,4
1,1,0,0,1,0.47527,4
1,1,1,0,0,0.50471,4
1,3,0,1,1,0.46885,4
1,6,0,0,1,0.51552,4
1,6,0,1,1,0.5465,4
1,4,0,0,1,0.47073,4
1,4,0,0,1,0.4414,4
1,3,0,0,1,0.42296,4
1,5,0,1,1,0.50122,4
1,5,0,1,1,0.41569,4
1,2,1,0,1,0.36793,4
1,3,0,1,1,0.60063,4
1,4,1,0,0,0.49046,4
1,2,0,1,1,0.6648,4
1,3,1,0,0,0.79353,4
1,1,1,0,0,0.53649,4
1,3,1,0,0,0.4028,4
1,3,0,1,1,0.36735,4
1,2,1,0,0,0.51739,4
1,6,1,0,0,0.62327,4
1,2,1,0,0,0.45031,4
1,4,0,0,1,0.58984,4
1,5,0,0,1,0.55055,4
1,4,0,1,1,0.57438,4
1,3,0,0,1,0.58525,4
1,5,0,0,1,0.71612,4
1,4,0,1,1,0.67335,4
1,4,0,0,1,0.69291,4
1,5,0,1,1,0.56197,4
1,1,1,0,0,0.52076,4
1,3,0,0,1,0.49367,4
1,4,0,1,1,0.44862,4
1,3,1,0,0,0.61508,4
1,3,0,1,1,0.79957,4
1,6,0,0,1,0.61202,4
1,6,0,1,1,0.63031,4
1,3,1,0,0,0.93022,4
1,6,1,0,0,0.5077,4
1,6,0,1,1,0.60671,4
1,1,0,1,0,0.648,4
1,3,0,1,0,0.52226,4
1,6,0,0,1,0.55645,4
1,5,1,0,0,0.4746,4
1,5,0,0,1,0.59724,4
1,6,0,0,0,0.4715,4
1,4,1,0,1,0.65965,4
1,4,1,0,0,0.66478,4
1,2,0,0,0,0.70436,4
1,5,1,0,1,0.7034,4
1,3,1,0,0,0.7667,4
1,6,0,1,1,0.77874,1
1,3,0,0,1,0.55955,4
1,5,0,0,1,0.52765,4
1,2,0,1,1,0.51735,4
1,3,1,0,0,0.50669,4
1,3,0,0,1,0.50149,4
1,3,1,0,0,1.8902,4
1,6,0,1,1,0.64409,4
1,2,1,0,1,0.6624,4
1,4,1,0,1,0.57434,4
1,2,0,0,0,1.1854,4
1,5,0,1,1,0.44725,4
1,1,0,0,0,0.6299,4
1,6,0,1,1,0.49806,4
1,2,0,1,1,0.6018,4
1,1,0,1,1,1.0646,1
2,1,0,1,0,1.2266,4
2,2,0,0,0,1.0947,4
2,6,0,1,1,1.3679,4
2,3,0,0,0,1.3801,4
2,4,0,0,0,1.1523,4
2,2,0,1,0,1.1097,4
2,5,1,0,1,0.627,4
2,4,0,0,1,0.74014,4
2,5,0,0,1,0.78676,4
2,5,0,1,1,0.83106,4
2,5,1,0,1,0.91343,4
2,5,1,0,0,1.0593,4
2,6,0,1,1,1.8798,4
2,3,1,0,0,0.97742,4
2,6,0,0,0,0.7607,4
2,6,0,0,1,0.71028,4
2,4,0,1,1,0.73268,4
2,6,0,1,1,0.72705,4
2,2,1,0,0,0.78425,4
2,3,1,0,0,0.77008,4
2,2,0,0,1,1.1813,4
2,4,0,1,1,0.91871,4
2,4,1,0,0,0.65191,4
2,6,1,0,0,0.71582,4
2,3,0,1,0,0.92161,4
2,4,1,0,0,0.7217,4
2,2,1,0,0,0.57969,4
2,2,0,0,0,0.57607,4
2,5,0,0,0,1.2002,4
2,3,0,1,0,1.2451,4
2,3,1,0,0,0.84836,4
2,1,0,1,1,1.1124,4
2,6,1,0,0,0.7686,4
2,2,1,0,0,0.52107,4
2,3,0,1,1,0.77509,4
2,1,0,1,1,0.79339,4
2,5,0,1,1,0.73263,4
2,1,1,0,0,0.70257,4
2,4,1,0,0,0.76554,4
2,4,1,0,0,0.72925,4
2,5,0,1,1,0.69479,4
2,5,0,0,0,0.54854,4
2,6,1,0,0,0.96842,4
2,4,0,0,0,0.70932,4
2,4,0,0,0,0.81384,4
