"","id","cond","aware","addcno","addino","addnooutliers","addcrx","addclrx","addirx","addilrx","subcno","subino","subnooutliers","subcrx","subclrx","subirx","subilrx","Purpose","ExplicitAware","Type","pass","completeunaware","awareness","eye","block","filter_$","addpro","subpro","addout","subout"
"78",1148,4,0.578125,32,32,64,477.1875,6.163854604,451.96875,6.110445724,24,24,47,491.4782609,6.19390238,481.9166667,6.175521827,2,2,0,1,1,1,1,0,1,1,1,1,0.979166666666667
"79",1150,1,0.53125,32,32,63,547.9677419,6.29985586,574.96875,6.340730961,24,24,46,559.0869565,6.319234466,575.7391304,6.348014275,1,2,0,1,1,1,0,1,1,1,1,0.984375,0.958333333333333
"80",1152,1,0.4375,32,32,64,525.375,6.259892721,509.96875,6.229972088,24,24,47,487.2608696,6.186091199,487.0416667,6.185677874,2,2,0,1,1,1,0,1,1,1,1,1,0.979166666666667
"81",1153,1,0.453125,32,32,63,593.5483871,6.379100356,585.71875,6.362632518,24,24,48,582.8333333,6.363665448,602.5416667,6.394668988,2,2,0,1,1,1,0,1,1,1,1,0.984375,1
"82",1154,3,0.390625,32,32,63,559.1612903,6.308682162,554.3125,6.301757241,24,24,48,510.2916667,6.230904952,517.4583333,6.235033386,2,2,0,1,1,1,0,0,1,1,1,0.984375,1
"83",1157,2,0.53125,32,32,62,489.1875,6.188358383,476.8666667,6.159757515,24,24,48,498.625,6.208624761,486.0416667,6.178497505,2,2,0,1,1,1,1,1,1,1,1,0.96875,1
"84",1158,2,0.484375,32,32,64,641.09375,6.438437593,663.40625,6.488480893,24,24,48,655.5416667,6.478912862,656.5416667,6.481417511,2,2,0,1,1,1,1,1,1,1,1,1,1
"85",1159,4,0.515625,32,32,64,545.03125,6.29392044,544.5,6.293688523,24,24,48,525.4583333,6.259239163,520.25,6.241418431,2,2,0,1,1,1,1,0,1,1,1,1,1
"86",1160,2,0.5,32,32,64,503.75,6.216278052,480.1875,6.169345359,24,24,47,494.3478261,6.19443004,511.7916667,6.225191514,2,2,0,1,1,1,1,1,1,1,1,1,0.979166666666667
"87",1161,1,0.515625,32,32,60,620.3103448,6.404070364,635.4193548,6.445228044,24,24,46,573.6521739,6.342907753,617.3913043,6.416577611,2,2,0,1,1,1,0,1,1,1,1,0.9375,0.958333333333333
"88",1164,3,0.46875,32,32,62,600.9666667,6.388405529,602.21875,6.389844602,24,24,48,600.1666667,6.388398159,625,6.428525912,2,2,0,1,1,1,0,0,1,1,1,0.96875,1
"89",1165,4,0.5,32,32,64,527.15625,6.261829209,501.15625,6.205033648,24,24,48,518.0416667,6.243836863,524.75,6.25873991,2,2,0,1,1,1,1,0,1,1,1,1,1
"90",1168,2,0.53125,32,32,64,508.8125,6.227033334,490.34375,6.191413982,24,24,47,492.9166667,6.193922097,514.7391304,6.236364855,2,2,0,1,1,1,1,1,1,1,1,1,0.979166666666667
